"dyadidyr","ccode_1","ccode_2","year","stateabb_1","majpow_1","numGPs","numstates","milex_1","milper_1","irst_1","pec_1","tpop_1","upop_1","cap_1","stateabb_2","majpow_2","milex_2","milper_2","irst_2","pec_2","tpop_2","upop_2","cap_2","dyad","conttype","colcont","alliance","distance"
200230986,200,230,1986,"UKG",1,5,161,27344000,331,14725,325916,56852,40788,0.0233587250113487,"SPN",0,4510000,314,11905,122153,38604,13099,0.0104936426505446,NA,0,1,1,1263.37878417969
200230012,200,230,2012,"UKG",1,7,195,61274000,174,9579,317447,62783,28933,0.015242263674736,"SPN",0,13927000,143,13639,198057,46755,16325,0.00807147659361362,NA,0,1,1,1263.37878417969
200230013,200,230,2013,"UKG",1,7,195,57035000,166,11858,302349,64641,28009,0.0147008448839188,"SPN",0,11593000,136,14252,184207,46698,16522,0.00758484564721584,NA,0,1,0,1263.37878417969
200230014,200,230,2014,"UKG",1,7,195,61818000,169,12120,276385,65016,28564,0.014876427128911,"SPN",0,15070000,135,14249,181696,46522,16722,0.0078359991312027,NA,0,1,0,1263.37878417969
200235831,200,235,1831,"UKG",1,5,29,8903,150,600,30981,24135,2849,0.29890975356102,"POR",0,-9,43,0,0,3098,212,0.0103574097156525,NA,0,1,1,1583.09094238281
200235889,200,235,1889,"UKG",1,6,38,28990,275,8457,152628,37178,11000,0.189298287034035,"POR",0,1538,30,0,575,5000,405,0.00473599182441831,NA,0,1,1,1583.09094238281
200235890,200,235,1890,"UKG",1,6,38,29602,278,8031,156388,37485,11207,0.179474890232086,"POR",0,1614,31,0,617,5050,409,0.00473176129162312,NA,0,1,1,1583.09094238281
200235897,200,235,1897,"UKG",1,7,39,35187,319,8937,170127,39987,12775,0.165821269154549,"POR",0,1546,34,0,672,5300,443,0.00424610776826739,NA,0,1,1,1583.09094238281
200235966,200,235,1966,"UKG",1,5,129,6032499,425,27686,256902,54643,21939,0.0353642553091049,"POR",0,256434,190,271,3418,9109,1118,0.00260872417129576,NA,0,1,1,1583.09094238281
200240848,200,240,1848,"UKG",1,5,39,14883,208,2090,53858,27820,4339,0.304160803556442,"HAN",0,244,22,10,56,1759,0,0.00328218354843557,200240,5,4,0,NA
200255832,200,255,1832,"UKG",1,5,29,9332,145,630,31503,24373,2926,0.300770342350006,"GMY",1,3162,132,93,1900,13139,254,0.04863391071558,NA,0,0,0,936.101928710938
200255833,200,255,1833,"UKG",1,5,29,8184,144,730,32261,24602,3006,0.303455501794815,"GMY",1,3162,134,93,2100,13303,259,0.04928869754076,NA,0,0,0,936.101928710938
200255888,200,255,1888,"UKG",1,6,38,27136,273,8127,147484,36881,10796,0.188650563359261,"GMY",1,38013,504,3813,70190,48020,5009,0.127286821603775,200255,5,1,0,936.101928710938
200255889,200,255,1889,"UKG",1,6,38,28990,275,8457,152628,37178,11000,0.189298287034035,"GMY",1,25670,504,3963,74835,48512,5317,0.118893198668957,200255,5,1,0,936.101928710938
200255899,200,255,1899,"UKG",1,8,41,63547,331,9572,183524,40774,13263,0.168644860386848,"GMY",1,37508,619,7160,114456,55248,8333,0.126722306013107,200255,5,1,0,936.101928710938
200255900,200,255,1900,"UKG",1,8,42,119587,487,4980,185652,41155,13513,0.177527576684952,"GMY",1,39681,624,6461,122681,56046,8719,0.131525382399559,200255,5,1,0,936.101928710938
200255911,200,255,1911,"UKG",1,8,45,65309,376,6566,212663,45286,17502,0.118448875844479,"GMY",1,61652,677,14303,176008,65359,13316,0.137315019965172,200255,5,1,0,936.101928710938
200255914,200,255,1914,"UKG",1,8,45,1678843,532,7971,213992,46048,17852,0.137909442186356,"GMY",1,1785000,862,13810,187335,67790,14279,0.158201038837433,200255,5,1,0,936.101928710938
200255915,200,255,1915,"UKG",1,8,45,4651398,4350,8687,216482,44333,17967,0.15022437274456,"GMY",1,5014000,3823,12278,174718,67883,14402,0.151112705469131,200255,5,1,0,936.101928710938
200255916,200,255,1916,"UKG",1,8,44,6213396,-9,9136,224058,43710,18084,0.15320748090744,"GMY",1,4974000,4580,14871,188756,67715,14576,0.150117725133896,200255,5,0,0,936.101928710938
200255917,200,255,1917,"UKG",1,8,44,7600458,4430,9873,221636,43280,18196,0.149894759058952,"GMY",1,7150000,5380,15501,198269,67368,14643,0.158168777823448,200255,5,0,0,936.101928710938
200255918,200,255,1918,"UKG",1,7,50,8104264,4222,9692,206733,43116,18271,0.14279717206955,"GMY",1,8779000,8000,14092,189899,66811,14737,0.172433733940125,200255,5,0,0,936.101928710938
200255919,200,255,1919,"UKG",1,5,51,745209,1333,8021,201771,44599,18356,0.110941581428051,"GMY",0,80023,114,7847,146740,62897,14803,0.0768035799264908,200255,5,0,0,936.101928710938
200255921,200,255,1921,"UKG",1,5,60,824711,448,3762,148471,47168,18563,0.098188579082489,"GMY",0,74696,114,9997,150490,62473,15980,0.0926383212208748,200255,5,0,0,936.101928710938
200255938,200,255,1938,"UKG",1,7,66,1863997,376,10565,218151,48404,18350,0.0777870342135429,"GMY",1,7415163,782,22656,232155,68424,20796,0.154222145676613,200255,5,0,0,936.101928710938
200255939,200,255,1939,"UKG",1,7,65,7895671,394,13433,219686,47762,18429,0.0996836498379707,"GMY",1,1.2e+07,2750,23733,255050,79798,23627,0.177955895662308,200255,5,0,0,936.101928710938
